OUTCOME,TOP_GOLD_DIFF,TOP1_IMPACT,TOP2_IMPACT,JUNGLE_GOLD_DIFF,JUNGLE1_IMPACT,JUNGLE2_IMPACT,MIDDLE_GOLD_DIFF,MIDDLE1_IMPACT,MIDDLE2_IMPACT,BOTTOM_GOLD_DIFF,BOTTOM1_IMPACT,BOTTOM2_IMPACT,UTILITY_GOLD_DIFF,UTILITY1_IMPACT,UTILITY2_IMPACT,TOP_JUNGLE,TOP_MIDDLE,TOP_BOTTOM,TOP_UTILITY,JUNGLE_TOP,JUNGLE_MIDDLE,JUNGLE_BOTTOM,JUNGLE_UTILITY,MIDDLE_TOP,MIDDLE_JUNGLE,MIDDLE_BOTTOM,MIDDLE_UTILITY,BOTTOM_TOP,BOTTOM_JUNGLE,BOTTOM_MIDDLE,BOTTOM_UTILITY,UTILITY_TOP,UTILITY_JUNGLE,UTILITY_MIDDLE,UTILITY_BOTTOM
1,570,0,0,2907,1,3,588,2,1,1204,1,2,322,2,3,0,0,0,0,0,0,2,2,0,0,0,0,0,1,-1,1,0,-1,0,-1
0,519,2,0,178,0,1,-450,0,1,-861,0,1,-503,1,2,0,0,0,0,2,-1,0,0,0,0,-1,1,0,-1,0,0,0,0,-1,-1
1,-1339,4,0,-448,1,0,148,2,4,913,2,2,487,1,3,-2,-1,0,0,0,2,2,1,-1,-1,0,1,0,0,-1,-1,-1,0,1,0
0,130,1,1,193,1,2,-2624,0,1,1393,2,2,1810,1,1,-1,0,0,0,0,-2,1,0,1,0,0,0,0,0,0,-1,0,0,-1,1
1,316,4,0,-2157,0,0,1148,0,0,1223,1,0,9,1,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
1,-286,1,1,-984,3,2,-698,0,2,1636,1,0,-117,2,3,-1,0,0,0,0,1,-1,-1,0,0,0,1,0,2,0,2,0,0,-1,-1
0,-268,0,0,-551,0,3,-1262,2,1,-1554,0,1,-1680,0,4,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,0,-3,-1
1,3392,2,1,3937,0,3,-372,1,5,1360,0,5,1972,1,7,0,0,-1,0,1,4,3,2,0,0,-1,0,0,2,1,5,0,0,-1,2
0,-3261,0,0,-950,2,2,2517,0,0,804,1,0,64,2,2,1,0,0,0,-1,0,-1,0,0,0,0,2,0,1,0,0,0,-1,-1,1
1,768,1,3,-102,3,2,4834,1,1,714,0,2,529,1,1,-1,0,0,0,-1,-2,0,0,3,2,2,0,0,0,1,0,0,0,-1,0
