OUTCOME,TOP_GOLD_LOG_RATIO,TOP2_IMPACT,TOP1_IMPACT,JUNGLE_GOLD_LOG_RATIO,JUNGLE2_IMPACT,JUNGLE1_IMPACT,MIDDLE_GOLD_LOG_RATIO,MIDDLE2_IMPACT,MIDDLE1_IMPACT,BOTTOM_GOLD_LOG_RATIO,BOTTOM2_IMPACT,BOTTOM1_IMPACT,UTILITY_GOLD_LOG_RATIO,UTILITY2_IMPACT,UTILITY1_IMPACT,TOP_JUNGLE,TOP_MIDDLE,TOP_BOTTOM,TOP_UTILITY,JUNGLE_TOP,JUNGLE_MIDDLE,JUNGLE_BOTTOM,JUNGLE_UTILITY,MIDDLE_TOP,MIDDLE_JUNGLE,MIDDLE_BOTTOM,MIDDLE_UTILITY,BOTTOM_TOP,BOTTOM_JUNGLE,BOTTOM_MIDDLE,BOTTOM_UTILITY,UTILITY_TOP,UTILITY_JUNGLE,UTILITY_MIDDLE,UTILITY_BOTTOM
0,-0.7782187606429911,1,1,-0.06799408993274035,1,1,-0.06932849104375648,2,2,0.7288719121198697,3,2,0.294862059668893,0,2,0,-1,0,0,0,2,2,0,0,-1,0,-1,0,-2,0,2,0,0,0,0
0,-0.9014753493811142,0,0,-0.12755411255724328,5,3,-0.6343129491818034,3,1,0.1600064055322379,2,3,-0.36257007938470825,2,0,0,0,0,0,-2,-2,2,-1,0,0,1,-2,0,2,0,-2,0,0,0,-1
1,0.1566998801464491,0,0,0.617835898225201,3,1,0.14187637638817102,1,2,0.3133563916808976,2,1,0.12809394983661893,3,2,0,0,0,0,0,0,2,2,0,0,0,0,0,1,-1,1,0,-1,0,-1
0,0.13888182175487965,0,2,0.04917185077150656,1,0,-0.13019103860982373,1,0,-0.2492741874102818,1,0,-0.19672477515364303,2,1,0,0,0,0,2,-1,0,0,0,0,-1,1,0,-1,0,0,0,0,-1,-1
0,0.3122115329167677,0,4,0.09336504512851328,0,1,-0.037673076730990095,4,2,-0.260426967855122,2,2,-0.17171285667229175,3,1,0,1,0,1,2,1,0,0,1,-2,1,-1,0,-2,0,0,0,-1,-1,1
0,0.03622251982941176,1,1,0.051212759717820175,2,1,-0.5921057181017582,1,0,0.3555105929667026,2,2,0.5208321633014406,1,1,-1,0,0,0,0,-2,1,0,1,0,0,0,0,0,0,-1,0,0,-1,1
0,-0.09290062211169803,0,4,0.5144871932093098,0,0,-0.3566834421948308,0,0,-0.32275597254144656,0,1,-0.0035685755086662676,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0.07785529371478062,1,1,0.2258309982813297,2,3,0.19515017939310456,2,0,-0.3642011331698286,0,1,0.0509469928890845,3,2,0,0,0,0,1,0,-2,0,0,-1,0,1,0,1,0,1,0,1,-1,-2
1,0.06931648097967916,0,0,0.1463723189457311,3,0,0.30238984720578227,1,2,0.37767793641117825,1,0,0.5556185391390118,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,1
1,0.8063536509710222,1,2,0.8158476910263854,3,0,-0.10275778501269875,5,1,0.253789499910144,5,0,0.5926226276950869,7,1,0,0,-1,0,1,4,3,2,0,0,-1,0,0,2,1,5,0,0,-1,2
1,0.7951746945816157,0,0,0.27779192207722503,2,2,-0.6735884984916609,0,0,-0.22899153192255278,0,1,-0.02602451700821469,2,2,1,0,0,0,-1,0,-1,1,0,0,0,1,0,1,0,-1,0,0,-2,0
1,0.20753549413178896,3,1,-0.02663030626473967,2,3,1.0023935219772808,1,1,0.19718795613845833,2,0,0.19556196146134464,1,1,-1,0,0,0,-1,-2,0,0,3,2,2,0,0,0,1,0,0,0,-1,0
0,-0.33971457838233093,2,0,-0.3003014000794525,0,2,0.13867311849651384,2,0,0.23933423928120987,2,2,0.2954704627566426,2,0,-2,0,0,0,0,0,0,0,-1,1,1,0,-1,0,-1,0,0,-1,-1,1
1,-0.8777489751468387,0,1,-0.32924524518416237,1,0,0.2193567060672724,0,0,0.3585894797690911,1,1,-0.19504308439464307,2,0,-1,0,0,0,0,0,1,0,0,1,0,0,0,-1,0,2,0,0,0,0
1,0.03119022310957862,2,1,0.27333941422553226,0,0,0.12686358413202486,1,3,0.3629864491030374,3,1,0.4298304005387099,4,2,0,0,1,0,0,0,2,1,-1,-2,0,1,2,-1,0,2,0,-1,0,-1
1,-0.45117414287587926,3,0,0.2876231538593929,2,1,0.32651434698519005,3,1,0.8701479848063293,1,1,0.45079488398204054,3,0,0,0,0,0,0,2,0,0,3,1,1,1,-1,0,0,2,0,0,0,0
1,0.41693596092815527,0,3,0.07397955381581109,2,1,0.6090916885566602,1,1,-0.21012075800152683,2,2,-0.5647646778719533,0,3,-1,0,0,-1,0,1,1,-1,0,1,0,0,0,-1,0,-1,0,-2,0,-1
0,-0.6324009238909984,2,0,-0.06792426605046907,0,0,-0.23110804259863152,0,0,0.4403111562309831,0,2,0.09994427711217055,0,2,-1,0,0,-1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0
1,-0.06493918672641465,1,2,-0.4670074895777026,0,1,-0.4758214378395201,2,2,0.819864958765343,2,1,0.38090274351102177,4,1,-2,0,0,0,0,-1,0,1,1,-2,1,0,0,-1,2,3,0,0,-1,1
1,0.3918697978788339,0,1,-0.6401575284052033,3,0,0.594160528283595,1,2,0.610162227417196,3,1,0.4396332348421782,4,2,-1,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,4,0,-1,1,2
0,-0.5390937935076053,0,1,-0.37679232920054007,1,3,0.3169172468090916,3,2,0.6212179706038804,1,1,0.19597633614153404,2,2,1,1,0,0,1,-1,1,1,0,-2,0,-1,0,0,0,1,0,1,0,-1
0,-0.9409690269115423,1,1,-0.2854892566614897,4,1,-0.6492816778671289,1,1,-0.08753677594247972,4,0,-0.4259552435835515,3,1,0,-1,0,0,1,-2,-2,0,0,-1,0,0,0,-2,0,1,0,0,-2,-1
0,-0.23886633451065942,0,0,0.10892983019924937,2,0,0.050091048016223015,2,0,-0.7103671572446836,0,1,-0.12633918352980958,5,1,0,0,0,0,-1,0,0,1,0,-2,0,0,0,0,0,0,-1,0,0,-4
0,-0.5307277077733366,1,3,0.49820492001266703,3,0,-0.5342595630349676,3,1,-0.40073338965607175,1,2,-0.4167895994610484,1,2,-1,0,0,0,3,-1,2,1,0,-3,0,0,0,0,0,-1,0,0,0,-1
1,0.42662057682944216,2,1,0.10511809268026848,0,2,-0.18315873528684634,1,0,-0.40584521346316516,1,0,-0.05583463791045784,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1
1,0.43031029779879015,4,1,0.945260388658227,2,0,0.43256901489356187,1,1,0.23760169666453648,2,1,0.48678821059885796,2,2,0,0,-1,0,3,1,2,0,0,0,0,2,-1,1,0,0,1,0,-1,-1
0,-0.6972775300389247,2,2,0.2681983640885728,5,1,-0.1818801347796658,3,1,-0.22255137848082313,0,1,-0.30816693527572525,0,2,-1,-1,0,0,-1,-1,0,1,1,-1,-1,1,0,0,0,0,0,0,0,0
1,0.2052996426318666,3,1,0.22598292027033057,3,3,0.647454949026368,2,0,0.6361682720513806,0,1,0.4411610862099233,6,1,0,0,0,1,-2,0,0,0,3,1,0,4,0,1,-1,1,0,-1,1,0
0,-0.6004617873792868,0,0,0.08658015176668639,1,0,-0.30476691434272934,1,1,-0.4649137485491939,1,1,-0.6473718525314244,1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,-1
0,-0.7860408931043813,2,0,-0.5973010569723266,3,1,-0.7911612882357288,3,1,-0.2622524043018677,1,1,-0.07679612115537149,1,0,-2,0,0,0,-1,-1,1,0,0,-1,-1,0,0,0,-1,0,0,-1,0,0
