TOP1_GOLD,JUNGLE1_GOLD,MIDDLE1_GOLD,BOTTOM1_GOLD,UTILITY1_GOLD,TOP2_GOLD,JUNGLE2_GOLD,MIDDLE2_GOLD,BOTTOM2_GOLD,UTILITY2_GOLD,TOP1_TOP2,TOP1_JUNGLE2,TOP1_MIDDLE2,TOP1_BOTTOM2,TOP1_UTILITY2,JUNGLE1_TOP2,JUNGLE1_JUNGLE2,JUNGLE1_MIDDLE2,JUNGLE1_BOTTOM2,JUNGLE1_UTILITY2,MIDDLE1_TOP2,MIDDLE1_JUNGLE2,MIDDLE1_MIDDLE2,MIDDLE1_BOTTOM2,MIDDLE1_UTILITY2,BOTTOM1_TOP2,BOTTOM1_JUNGLE2,BOTTOM1_MIDDLE2,BOTTOM1_BOTTOM2,BOTTOM1_UTILITY2,UTILITY1_TOP2,UTILITY1_JUNGLE2,UTILITY1_MIDDLE2,UTILITY1_BOTTOM2,UTILITY1_UTILITY2,TOP2_TOP1,TOP2_JUNGLE1,TOP2_MIDDLE1,TOP2_BOTTOM1,TOP2_UTILITY1,JUNGLE2_TOP1,JUNGLE2_JUNGLE1,JUNGLE2_MIDDLE1,JUNGLE2_BOTTOM1,JUNGLE2_UTILITY1,MIDDLE2_TOP1,MIDDLE2_JUNGLE1,MIDDLE2_MIDDLE1,MIDDLE2_BOTTOM1,MIDDLE2_UTILITY1,BOTTOM2_TOP1,BOTTOM2_JUNGLE1,BOTTOM2_MIDDLE1,BOTTOM2_BOTTOM1,BOTTOM2_UTILITY1,UTILITY2_TOP1,UTILITY2_JUNGLE1,UTILITY2_MIDDLE1,UTILITY2_BOTTOM1,UTILITY2_UTILITY1
5067,5034,5241,6101,3643,4751,7191,4093,4878,3634,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
5158,5807,4819,7333,3255,5444,6791,5517,5697,3372,2,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,2,1,1,2,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
5713,5711,6674,6747,5256,5445,5160,5412,5193,3576,2,0,0,0,0,0,1,0,0,0,0,2,3,0,3,0,1,0,1,1,0,0,1,1,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7922,9115,5039,8431,5854,4530,5178,5411,7071,3882,5,1,0,0,0,1,1,4,3,2,0,0,0,0,0,0,2,1,3,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,2
7696,5424,4230,4674,3516,4435,4474,6747,5478,3580,4,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,1,0
5732,5475,9652,5589,4173,4964,5577,4818,4875,3644,2,0,0,0,0,0,1,0,0,0,3,2,4,2,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0
6325,6141,6165,4511,3665,4998,4987,6787,5325,4498,0,0,1,1,0,2,2,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,1,1
4154,4720,6409,6825,4283,7633,5930,5505,5323,4903,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,1
5377,6744,5809,7921,4836,5262,5580,5320,6159,3590,0,0,1,1,0,0,0,0,2,1,0,0,0,0,1,2,0,0,3,2,0,0,0,0,2,1,0,1,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
5352,6379,6774,8112,4684,7317,5226,5402,4438,3427,2,0,0,0,0,0,1,3,0,0,3,2,0,1,1,0,0,0,5,2,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5323,7222,7024,5549,4076,3987,6861,4605,6419,6029,1,1,0,0,0,0,2,1,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1
